"protein","RNA","corr.coef","conf.level","conf.low","conf.high","statistic","p.value","method","n.obs","factor","fact_lvl"
"CD26","CD26 RNA (ENSG00000197635_DPP4)",0.193617741189707,0.95,0.181045059764113,0.2061271474159,1854655284050.03,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD224","CD224 RNA (ENSG00000100031_GGT1)",0.124753210601426,0.95,0.111905700648265,0.13755902209359,2013041662400.68,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD35","CD35 RNA (ENSG00000203710_CR1)",0.131862370132051,0.95,0.119037478823162,0.144643268424365,1996690806284.28,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD47","CD47 RNA (ENSG00000196776_CD47)",0.132049796640524,0.95,0.119225519557743,0.144830020393308,1996259730872.45,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD49f","CD49f RNA (ENSG00000091409_ITGA6)",0.0757651210970126,0.95,0.0627977051517987,0.0887069600814214,2125712815643.71,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD4","CD4 RNA (ENSG00000010610_CD4)",0.126089653165115,0.95,0.113246294257965,0.138890881258138,2009967884133,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD62P","CD62P RNA (ENSG00000174175_SELP)",0.112329234891428,0.95,0.0994453732442934,0.12517543844072,2041616438132.3,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD49d","CD49d RNA (ENSG00000115232_ITGA4)",0.190507607510498,0.95,0.177919832115057,0.203033046849341,1861808499289.11,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD244","CD244 RNA (ENSG00000122223_CD244)",0.129705148975127,0.95,0.116873254343325,0.142493745455074,2001652350978.3,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD72","CD72 RNA (ENSG00000137101_CD72)",0.126307597239488,0.95,0.113464919710642,0.139108073490397,2009466619224.52,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD86","CD86 RNA (ENSG00000114013_CD86)",0.120069108236197,0.95,0.107207418426066,0.1328906184923,2023814958945.58,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD39","CD39 RNA (ENSG00000138185_ENTPD1)",0.133448562776992,0.95,0.120628898724308,0.146223723679211,1993042610235.42,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD95","CD95 RNA (ENSG00000026103_FAS)",0.0994838652949521,0.95,0.0865666661330181,0.11236762084927,2071160407307.45,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD142","CD142 RNA (ENSG00000117525_F3)",0.113296207909985,0.95,0.10041503057491,0.126139411363132,2039392428862.74,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD22","CD22 RNA (ENSG00000012124_CD22)",0.0918912399103745,0.95,0.0789563652062382,0.104795178101509,2088623220552,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD103","CD103 RNA (ENSG00000083457_ITGAE)",0.0247867248494337,0.95,0.011761114925691,0.0378039240823985,2242961615378.55,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD54","CD54 RNA (ENSG00000090339_ICAM1)",0.0854647556692253,0.95,0.0725160980962346,0.0983846072295444,2103403943745.6,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD40","CD40 RNA (ENSG00000101017_CD40)",0.0602922461607561,0.95,0.0472999954759224,0.0732641001644228,2161299969188.38,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD64","CD64 RNA (ENSG00000150337_FCGR1A)",0.0712901998190807,0.95,0.0583149585325856,0.0842413588729663,2136005001890.56,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD11c","CD11c RNA (ENSG00000140678_ITGAX)",0.0711522117734667,0.95,0.0581767375016181,0.0841036499510863,2136322370303.78,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD105","CD105 RNA (ENSG00000106991_ENG)",0.0700753042997568,0.95,0.0570980288190249,0.083028903860875,2138799225560.37,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD155","CD155 RNA (ENSG00000073008_PVR)",0.0784919609931652,0.95,0.0655295700831984,0.0914278656177674,2119441164740.06,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD7","CD7 RNA (ENSG00000173762_CD7)",0.114352596201016,0.95,0.101474379363089,0.127192494419302,2036962767117.88,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD223","CD223 RNA (ENSG00000089692_LAG3)",0.0627595497815736,0.95,0.0497708401322232,0.0757270345369375,2155625244022.11,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD101","CD101 RNA (ENSG00000134256_CD101)",0.0614508327791592,0.95,0.0484602250794767,0.0744206547938247,2158635254320.99,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD42b","CD42b RNA (ENSG00000185245_GP1BA)",0.0382685068980667,0.95,0.0252516895439117,0.0512723499346331,2211953916434.63,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD304","CD304 RNA (ENSG00000099250_NRP1)",0.063985621442806,0.95,0.0509987305678919,0.0769508761493168,2152805315557.31,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD127","CD127 RNA (ENSG00000168685_IL7R)",0.0514485119159132,0.95,0.0384448749437314,0.064434726755562,2181640295713.08,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD124","CD124 RNA (ENSG00000077238_IL4R)",0.0538351088455774,0.95,0.0408343434209805,0.0668176485507223,2176151193543.31,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD192","CD192 RNA (ENSG00000121807_CCR2)",0.0466797404358425,0.95,0.0336708110889133,0.0596728550953134,2192608328711.46,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD115","CD115 RNA (ENSG00000182578_CSF1R)",0.0457564879917264,0.95,0.0327466026094545,0.0587508701507597,2194731781956.23,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD56","CD56 RNA (ENSG00000149294_NCAM1)",0.0669511598002775,0.95,0.053968830395065,0.0799108590919873,2145984665270.61,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD58","CD58 RNA (ENSG00000116815_CD58)",0.0506928236066736,0.95,0.0376883083893469,0.0636801712637036,2183378356416.32,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD69","CD69 RNA (ENSG00000110848_CD69)",0.0330958671915365,0.95,0.0200751157236306,0.0461053938942116,2223850834378.18,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD93","CD93 RNA (ENSG00000125810_CD93)",0.0460745383233954,0.95,0.0330649797727365,0.0590684863457603,2194000275624.36,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD29","CD29 RNA (ENSG00000150093_ITGB1)",0.101218919728591,0.95,0.0883059713912579,0.114097853148649,2067169833558.7,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD134","CD134 RNA (ENSG00000186827_TNFRSF4)",0.0268465085011311,0.95,0.0138219350821647,0.0398619732678722,2238224174057.28,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD119","CD119 RNA (ENSG00000027697_IFNGR1)",0.034992804007394,0.95,0.0219734142170579,0.048000327203383,2219487935950.54,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD25","CD25 RNA (ENSG00000134460_IL2RA)",0.051098171023739,0.95,0.0380941250390133,0.0640849128895106,2182446069376.62,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD14","CD14 RNA (ENSG00000170458_CD14)",0.0276067036188154,0.95,0.0145825406937175,0.0406215003558519,2236475747828.26,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD45RO","CD45RO RNA (ENSG00000081237_PTPRC)",0.0416363491451787,0.95,0.0286224684976394,0.0546361174664255,2204207979131.06,"< 0.001","Spearman correlation",23986,"donor","32606"
"HLA-E","HLA-E RNA (ENSG00000204592_HLA-E)",0.0279432187235493,0.95,0.014919242324496,0.0409577149416342,2235701773065.87,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD352","CD352 RNA (ENSG00000162739_SLAMF6)",0.0341601591613628,0.95,0.0211401601140353,0.0471685733092061,2221402994406.45,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD141","CD141 RNA (ENSG00000178726_THBD)",0.0145378862108843,0.95,0.0015087637504197,0.0275620736519663,2266533640343.98,"0.0243510847144889","Spearman correlation",23986,"donor","32606"
"CD79b","CD79b RNA (ENSG00000007312_CD79B)",0.0155305791945959,0.95,0.00250167716904351,0.0285542093793579,2264250475917.23,"0.016158980569355","Spearman correlation",23986,"donor","32606"
"CD2","CD2 RNA (ENSG00000116824_CD2)",0.0280966234153072,0.95,0.0150727330266641,0.0411109816599991,2235348946823.65,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD226","CD226 RNA (ENSG00000150637_CD226)",0.0166170056311969,0.95,0.00358837429864378,0.0296399965335259,2261751727328.26,"0.0100650033047715","Spearman correlation",23986,"donor","32606"
"CD328","CD328 RNA (ENSG00000168995_SIGLEC7)",NA,0.95,NA,NA,NA,NA,"Spearman correlation",23986,"donor","32606"
"CD20","CD20 RNA (ENSG00000156738_MS4A1)",NA,0.95,NA,NA,NA,NA,"Spearman correlation",23986,"donor","32606"
"CD107a","CD107a RNA (ENSG00000185896_LAMP1)",0.0312165381388958,0.95,0.0181945302045293,0.0442279574188013,2228173235472.53,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD11b","CD11b RNA (ENSG00000169896_ITGAM)",0.0206735306598124,0.95,0.0076461820144213,0.0336938630010237,2252421840048.37,"0.00136490908194471","Spearman correlation",23986,"donor","32606"
"CD49a","CD49a RNA (ENSG00000213949_ITGA1)",0.0298251923360444,0.95,0.0168023135419203,0.0428379535605086,2231373289562.27,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD278","CD278 RNA (ENSG00000163600_ICOS)",0.0369099610410849,0.95,0.0238920428311139,0.0499153642467147,2215078531621.46,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD83","CD83 RNA (ENSG00000112149_CD83)",0.0145042431478991,0.95,0.001475113666819,0.0275284490252334,2266611018391.25,"0.0246826670373487","Spearman correlation",23986,"donor","32606"
"CD195","CD195 RNA (ENSG00000160791_CCR5)",NA,0.95,NA,NA,NA,NA,"Spearman correlation",23986,"donor","32606"
"CD274","CD274 RNA (ENSG00000120217_CD274)",0.00579387400135681,0.95,-0.00723608050636207,0.018821861375507,2286644609144.47,"0.369568440848869","Spearman correlation",23986,"donor","32606"
"CD270","CD270 RNA (ENSG00000157873_TNFRSF14)",0.0196838664024149,0.95,0.00665616525275864,0.0327048868590691,2254698038494.41,"0.00229865700054518","Spearman correlation",23986,"donor","32606"
"CD335","CD335 RNA (ENSG00000189430_NCR1)",0.0147840987029636,0.95,0.00175502852012206,0.0278081503235573,2265967358913.01,"0.0220398501806112","Spearman correlation",23986,"donor","32606"
"CD154","CD154 RNA (ENSG00000102245_CD40LG)",NA,0.95,NA,NA,NA,NA,"Spearman correlation",23986,"donor","32606"
"CD172a","CD172a RNA (ENSG00000198053_SIRPA)",0.0166795483754561,0.95,0.00365093356272085,0.0297025015404231,2261607880871.01,"0.00978670489745631","Spearman correlation",23986,"donor","32606"
"CD27","CD27 RNA (ENSG00000139193_CD27)",-0.00132114095194882,0.95,-0.0143503021809465,0.01170846884452,2303008932559.41,"0.837884656970066","Spearman correlation",23986,"donor","32606"
"CD122","CD122 RNA (ENSG00000100385_IL2RB)",0.0105956251528872,0.95,-0.0024341191393396,0.0236217723061653,2275600723879.66,"0.100808023652059","Spearman correlation",23986,"donor","32606"
"IgD","IgD RNA (ENSG00000211898_IGHD)",0.0126907254232784,0.95,-0.00033873883866011,0.0257158814848962,2270782055382.62,"0.0493631108965198","Spearman correlation",23986,"donor","32606"
"CD163","CD163 RNA (ENSG00000177575_CD163)",0.00577473140117103,0.95,-0.00725522274203548,0.0188027249096619,2286688636557.27,"0.371152082011472","Spearman correlation",23986,"donor","32606"
"CD268","CD268 RNA (ENSG00000159958_TNFRSF13C)",-0.00182664805740115,0.95,-0.014855702740124,0.0112030268268188,2304171583912.42,"0.777264193035549","Spearman correlation",23986,"donor","32606"
"CD161","CD161 RNA (ENSG00000111796_KLRB1)",0.00588208884612545,0.95,-0.00714786721797343,0.0189100478280468,2286441717617.29,"0.362324949361905","Spearman correlation",23986,"donor","32606"
"CD146","CD146 RNA (ENSG00000076706_MCAM)",0.00847514371112666,0.95,-0.00455476750469542,0.0215021775599347,2280477768318.23,"0.189339422102855","Spearman correlation",23986,"donor","32606"
"CD21","CD21 RNA (ENSG00000117322_CR2)",0.00880343804497309,0.95,-0.00422645499515707,0.0218303422769566,2279722701085.11,"0.17276269295751","Spearman correlation",23986,"donor","32606"
"CD19","CD19 RNA (ENSG00000177455_CD19)",0.00222255478639377,0.95,-0.0108071664243077,0.0152515213746649,2294858537440.5,"0.730696820161913","Spearman correlation",23986,"donor","32606"
"CD303","CD303 RNA (ENSG00000198178_CLEC4C)",0.00198697952995026,0.95,-0.0110427146073141,0.015015999028813,2295400353544.94,"0.758298430885678","Spearman correlation",23986,"donor","32606"
"CD94","CD94 RNA (ENSG00000134539_KLRD1)",0.0126079867948418,0.95,-0.000421490695953116,0.0256331841641593,2270972351774.62,"0.0508638115111369","Spearman correlation",23986,"donor","32606"
"CD23","CD23 RNA (ENSG00000104921_FCER2)",NA,0.95,NA,NA,NA,NA,"Spearman correlation",23986,"donor","32606"
"CD85j","CD85j RNA (ENSG00000104972_LILRB1)",-0.00558029184955677,0.95,-0.0186083471262788,0.00744965805001717,2312804853329.63,"0.387475504242367","Spearman correlation",23986,"donor","32606"
"CD185","CD185 RNA (ENSG00000160683_CXCR5)",0.00824674151517633,0.95,-0.00478318068893972,0.0212738638856332,2281003086596.23,"0.201544998383016","Spearman correlation",23986,"donor","32606"
"CD3","CD3 RNA (ENSG00000167286_CD3D)",-0.000503149950520426,0.95,-0.0135324694856626,0.0125263404195636,2301127577511.57,"0.937891005193118","Spearman correlation",23986,"donor","32606"
"CD319","CD319 RNA (ENSG00000026751_SLAMF7)",-0.000569346531318146,0.95,-0.0135986539037021,0.0124601541517768,2301279827684.51,"0.929739599745792","Spearman correlation",23986,"donor","32606"
"CX3CR1","CX3CR1 RNA (ENSG00000168329_CX3CR1)",-0.00428846642511412,0.95,-0.017316907073077,0.00874143026319161,2309833693159.2,"0.506600070840957","Spearman correlation",23986,"donor","32606"
"CD194","CD194 RNA (ENSG00000183813_CCR4)",0.00225136099600919,0.95,-0.0107783634260187,0.0152803210151535,2294792284012.56,"0.727344671877583","Spearman correlation",23986,"donor","32606"
"CD1d","CD1d RNA (ENSG00000158473_CD1D)",0.00312312182908147,0.95,-0.00990668954875931,0.0161518728207147,2292787259946.34,"0.628622367987021","Spearman correlation",23986,"donor","32606"
"CD137","CD137 RNA (ENSG00000049249_TNFRSF9)",-0.00807650716421985,0.95,-0.0211036946285011,0.00495342234543718,2318546074534.44,"0.21100842880754","Spearman correlation",23986,"donor","32606"
"CD24","CD24 RNA (ENSG00000272398_CD24)",0.00230162395738015,0.95,-0.0107281060162025,0.015330572462513,2294676680691.83,"0.721508134183856","Spearman correlation",23986,"donor","32606"
"CD45RA","CD45RA RNA (ENSG00000081237_PTPRC)",-0.00374812530455462,0.95,-0.0167767142499505,0.00928173622754423,2308590924604.36,"0.561604804959297","Spearman correlation",23986,"donor","32606"
"CD88","CD88 RNA (ENSG00000197405_C5AR1)",-0.00606089146205379,0.95,-0.0190887922739643,0.00696906713456411,2313910218187.41,"0.34791814114287","Spearman correlation",23986,"donor","32606"
"IgM","IgM RNA (ENSG00000211899_IGHM)",-0.0471774844410669,0.95,-0.0601699065686742,-0.0341690797428837,2408477162831.22,"< 0.001","Spearman correlation",23986,"donor","32606"
"CD48","CD48 RNA (ENSG00000117091_CD48)",0.611431386083734,0.95,0.602880167089872,0.619842142297037,708462227822.789,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD62L","CD62L RNA (ENSG00000188404_SELL)",0.546834055060156,0.95,0.537269461480702,0.55625801650153,826240060126.641,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD71","CD71 RNA (ENSG00000072274_TFRC)",0.459259128043998,0.95,0.448505165965391,0.469880136422248,985912060574.56,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD36","CD36 RNA (ENSG00000135218_CD36)",0.433456734516887,0.95,0.42239274222945,0.444391580314349,1032956573555.52,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD32","CD32 RNA (ENSG00000143226_FCGR2A)",0.437014919868439,0.95,0.425992589861211,0.447907539757403,1026469070883.19,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD9","CD9 RNA (ENSG00000010278_CD9)",0.445954841189512,0.95,0.435038727721354,0.456739882383697,1010169255744.1,"< 0.001","Spearman correlation",22199,"donor","13176"
"FceRIa","FceRIa RNA (ENSG00000179639_FCER1A)",0.475788650336893,0.95,0.465242952677979,0.4861993066021,955774417519.853,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD41","CD41 RNA (ENSG00000005961_ITGA2B)",0.408424810745767,0.95,0.397077584055227,0.419647191837305,1078596318626.13,"< 0.001","Spearman correlation",22199,"donor","13176"
"HLA-A-B-C","HLA-A-B-C RNA (ENSG00000206503_HLA-A)",0.295451050294772,0.95,0.283039940911052,0.307763229478928,1284577036440.56,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD38","CD38 RNA (ENSG00000004468_CD38)",0.362185316278534,0.95,0.350360254580143,0.373894932689088,1162903012709.03,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD52","CD52 RNA (ENSG00000169442_CD52)",0.346951824493142,0.95,0.334982215714535,0.358809468793071,1190677653123.31,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD82","CD82 RNA (ENSG00000085117_CD82)",0.333370713284457,0.95,0.321277611153398,0.345355103834255,1215439571504.31,"< 0.001","Spearman correlation",22199,"donor","13176"
"HLA-DR","HLA-DR RNA (ENSG00000204287_HLA-DRA)",0.357388831632659,0.95,0.34551756942821,0.369145724947024,1171648258918.41,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD13","CD13 RNA (ENSG00000166825_ANPEP)",0.296380466316437,0.95,0.283976679912828,0.308685071109844,1282882467909.54,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD44","CD44 RNA (ENSG00000026508_CD44)",0.268387956874185,0.95,0.255773992918264,0.280910550344733,1333920135110.53,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD11a","CD11a RNA (ENSG00000005844_ITGAL)",0.255101484131111,0.95,0.242395270475976,0.267720199744106,1358144850495.01,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD31","CD31 RNA (ENSG00000261371_PECAM1)",0.234183605078172,0.95,0.221341944485367,0.246944063151828,1396283615862.12,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD123","CD123 RNA (ENSG00000185291_IL3RA)",0.215633182219503,0.95,0.202681413889053,0.22850952034827,1430105889290.35,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD63","CD63 RNA (ENSG00000135404_CD63)",0.26762802934857,0.95,0.255008658824076,0.280156248111927,1335305681777.19,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD33","CD33 RNA (ENSG00000105383_CD33)",0.244346323945488,0.95,0.231568973859884,0.257039383488728,1377754320927.79,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD45","CD45 RNA (ENSG00000081237_PTPRC)",0.187225843013249,0.95,0.174123680292872,0.200261726721182,1481899899665.36,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD81","CD81 RNA (ENSG00000110651_CD81)",0.234066210138426,0.95,0.221223823161666,0.246827430582875,1396497657546.31,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD162","CD162 RNA (ENSG00000110876_SELPLG)",0.159092599186797,0.95,0.145863197563845,0.172265112567523,1533194162463.09,"< 0.001","Spearman correlation",22199,"donor","13176"
"KLRG1","KLRG1 RNA (ENSG00000139187_KLRG1)",0.136162373434176,0.95,0.122845224146635,0.149430495721285,1575001962268.25,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD112","CD112 RNA (ENSG00000130202_NECTIN2)",0.180713840770795,0.95,0.167580305816833,0.193783243175433,1493772983211.09,"< 0.001","Spearman correlation",22199,"donor","13176"
"integrinB7","integrinB7 RNA (ENSG00000139626_ITGB7)",0.134271552483267,0.95,0.120947806773787,0.147546926822628,1578449423476.7,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD18","CD18 RNA (ENSG00000160255_ITGB2)",0.164621612218379,0.95,0.151415512663007,0.177768954545079,1523113325386.37,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD49b","CD49b RNA (ENSG00000164171_ITGA2)",0.142253486361966,0.95,0.128958248917586,0.155497592110308,1563896270042.5,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD26","CD26 RNA (ENSG00000197635_DPP4)",0.125854339485852,0.95,0.112502410254729,0.13916082857472,1593796204607.85,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD224","CD224 RNA (ENSG00000100031_GGT1)",0.135389197655083,0.95,0.122069339258005,0.148660297016953,1576411663966.58,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD35","CD35 RNA (ENSG00000203710_CR1)",0.147770756669256,0.95,0.134496239050909,0.160992246191057,1553836843023.91,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD47","CD47 RNA (ENSG00000196776_CD47)",0.153658921835069,0.95,0.140407431794136,0.166855370824042,1543101177656.82,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD49f","CD49f RNA (ENSG00000091409_ITGA6)",0.103102894330403,0.95,0.0896844358828141,0.116483930125716,1635278040617.61,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD4","CD4 RNA (ENSG00000010610_CD4)",0.150117101570503,0.95,0.136851646871058,0.163328724664646,1549558842494.68,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD62P","CD62P RNA (ENSG00000174175_SELP)",0.130263632370482,0.95,0.116926226291149,0.14355406027563,1585756910263.7,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD49d","CD49d RNA (ENSG00000115232_ITGA4)",0.11393652210873,0.95,0.100547986595652,0.127283801016946,1615525503237.2,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD244","CD244 RNA (ENSG00000122223_CD244)",0.11238552974044,0.95,0.0989925144921384,0.12573783553064,1618353368044.66,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD72","CD72 RNA (ENSG00000137101_CD72)",0.113160988689028,0.95,0.0997702050196262,0.126510789265197,1616939503531.09,"< 0.001","Spearman correlation",22199,"donor","13176"
"CD86","CD86 RNA (ENSG00000114013_CD86)",0.101155992051518,0.95,0.087732494572736,0.114542758778588,1638827752757.13,"< 0.001","Spearman correlation",22199,"donor","13176"
